N,occurrence_id,classification,type_of_occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
23,42723,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BOA VISTA,RR,BRAZIL,SBBV,01/09/2010,13:30:00,YES,SERIPA-7,FINISHED,-,1.0,21/12/2011,4,1,-,30/07/2016
24,44538,ACCIDENT,ABOUT WINDOWS / DOORS / WINDSHIELD,BOA VISTA,RR,BRAZIL,****,23/05/2011,10:50:00,YES,SERIPA-1,FINISHED,-,1.0,27/08/2013,3,1,-,30/07/2016
25,53435,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BOA VISTA,RR,BRAZIL,****,15/08/2015,14:00:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
26,34077,ACCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,BOA VISTA,RR,BRAZIL,SBBV,27/08/2008,22:20:00,YES,SERIPA-7,FINISHED,-,1.0,06/06/2012,2,1,-,30/07/2016
27,27709,ACCIDENT,ABOUT LANDING GEAR,BOA VISTA,RR,BRAZIL,SBBV,22/09/2006,18:09:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
28,26521,ACCIDENT,UNKNOWN,BOA VISTA,RR,BRAZIL,****,21/03/2006,10:38:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
29,53260,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,AFONSO CLAUDIO,ES,BRAZIL,****,08/05/2015,11:27:00,UNKNOWN,SERIPA-3,-,-,-,-,0,1,-,30/07/2016
30,43458,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,AGUA BRANCA,AL,BRAZIL,****,11/12/2010,11:00:00,YES,SERIPA-2,IN PROGRESS,-,-,-,0,1,-,30/07/2016
31,48058,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,BRASILIA,DF,BRAZIL,SBBR,30/04/2013,21:00:00,YES,CENIPA,IN PROGRESS,-,-,-,0,1,-,30/07/2016
32,45400,SERIOUS INCIDENT,FIRE DURING THE FLIGHT,BRASILIA,DF,BRAZIL,SBBR,21/01/2012,14:50:00,YES,CENIPA,IN PROGRESS,-,-,-,0,1,-,30/07/2016
33,43870,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SBBR,14/02/2011,14:45:00,YES,SERIPA-6,FINISHED,-,1.0,06/06/2015,0,1,-,30/07/2016
34,36495,SERIOUS INCIDENT,ANOTHER TYPES,BRASILIA,DF,BRAZIL,****,14/03/2008,16:14:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
35,53493,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,BRASILIA,DF,BRAZIL,SBBR,05/10/2015,14:15:00,YES,CENIPA,IN PROGRESS,-,-,-,0,1,-,30/07/2016
36,27852,ACCIDENT,ABOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SBBR,16/06/2006,13:17:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
37,38359,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BRASILIA,DF,BRAZIL,****,07/08/2009,20:40:00,YES,SERIPA-6,FINISHED,-,1.0,16/06/2016,2,1,-,30/07/2016
38,43461,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,BRASILIA,DF,BRAZIL,****,08/12/2010,22:00:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
39,46026,SERIOUS INCIDENT,LANDING BEFORE THE TRACK AREA,BRASILIA,DF,BRAZIL,SIQE,22/06/2012,12:30:00,YES,SERIPA-6,FINISHED,-,1.0,15/05/2015,1,1,-,30/07/2016
40,34651,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,BRASILIA,DF,BRAZIL,****,05/12/2008,09:55:00,YES,SERIPA-6,FINISHED,-,1.0,23/09/2011,15,1,-,30/07/2016
41,50346,ACCIDENT,LANDING WITHOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SIQE,10/12/2013,12:05:00,YES,SERIPA-6,FINISHED,-,1.0,16/06/2014,0,1,-,30/07/2016
42,30181,ACCIDENT,LOAD LAUNCH,BRASILIA,DF,BRAZIL,****,09/08/2007,17:30:00,YES,SERIPA-6,FINISHED,-,1.0,22/08/2013,5,1,-,30/07/2016
43,44858,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SBBR,19/07/2011,20:50:00,YES,SERIPA-6,FINISHED,-,1.0,15/04/2015,0,1,-,30/07/2016
44,41917,ACCIDENT,HARD LANDING,BRASILIA,DF,BRAZIL,****,19/07/2010,18:30:00,YES,SERIPA-6,FINISHED,-,1.0,21/07/2011,1,1,-,30/07/2016
45,28015,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,BRASILIA,DF,BRAZIL,****,19/10/2006,20:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
46,33856,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SBBR,10/10/2008,19:15:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
47,26980,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,BRASILIA,DF,BRAZIL,SBBR,28/04/2006,14:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
48,50999,ACCIDENT,SYSTEM / COMPONENT FAILURE,BRASILIA,DF,BRAZIL,SBBR,28/03/2014,20:42:00,YES,CENIPA,IN PROGRESS,-,-,-,0,1,-,30/07/2016
49,45128,ACCIDENT,ANOTHER TYPES,BRASILIA,DF,BRAZIL,****,27/08/2011,21:00:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
50,45392,ACCIDENT,LOSS OF CONTROL IN THE AIR,BRASILIA,DF,BRAZIL,****,19/01/2012,21:30:00,YES,SERIPA-6,FINISHED,-,1.0,07/04/2014,2,1,-,30/07/2016
51,41179,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SBBR,20/05/2010,22:20:00,YES,SERIPA-6,FINISHED,-,1.0,22/09/2013,8,1,-,30/07/2016
52,46574,SERIOUS INCIDENT,EXPLOSIVE / NOT INTENTIONAL DECOMPRESSION,BRASILIA,DF,BRAZIL,SBBR,24/10/2012,22:50:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
53,44843,ACCIDENT,LOSS OF CONTROL ON THE GROUND,BRASILIA,DF,BRAZIL,****,16/05/2011,12:00:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
54,51436,ACCIDENT,AIRCRAFTS COLLISION IN THE AIR,BRASILIA,DF,BRAZIL,****,19/05/2014,18:00:00,UNKNOWN,SERIPA-6,-,-,-,-,0,2,-,30/07/2016
55,31695,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SBBR,09/02/2008,09:40:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
56,39385,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,BRASILIA,DF,BRAZIL,SBBR,21/02/2010,17:00:00,YES,CENIPA,FINISHED,-,1.0,01/08/2011,1,1,-,30/07/2016
57,53203,SERIOUS INCIDENT,LANDING BEFORE THE TRACK AREA,BRASILIA,DF,BRAZIL,SBBR,08/04/2015,16:04:00,YES,CENIPA,IN PROGRESS,-,-,-,0,1,-,30/07/2016
58,44244,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,BRASILIA,DF,BRAZIL,SBBR,30/03/2011,20:25:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
59,52289,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,BRASILIA,DF,BRAZIL,****,17/08/2014,15:05:00,YES,SERIPA-6,FINISHED,-,1.0,16/11/2015,0,1,-,30/07/2016
60,28093,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BRASILIA,DF,BRAZIL,****,10/12/2006,16:00:00,YES,SERIPA-6,FINISHED,-,1.0,30/12/2009,7,1,-,30/07/2016
61,35602,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JI-PARANA,RO,BRAZIL,****,31/01/2009,00:15:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
62,50831,ACCIDENT,LOSS OF CONTROL IN THE AIR,ACREUNA,GO,BRAZIL,****,09/09/2012,20:00:00,YES,SERIPA-6,FINISHED,-,1.0,03/06/2014,1,1,-,30/07/2016
63,34416,ACCIDENT,ANOTHER TYPES,BUJARI,AC,BRAZIL,SBRB,01/11/2008,19:30:00,YES,SERIPA-7,FINISHED,-,1.0,01/07/2010,2,1,-,30/07/2016
64,46419,ACCIDENT,SPATIAL UNAWARENESS,CANTA,RR,BRAZIL,****,24/09/2012,08:00:00,YES,SERIPA-7,FINISHED,-,1.0,05/10/2015,0,1,-,30/07/2016
65,47154,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PIMENTA BUENO,RO,BRAZIL,****,11/03/2013,21:30:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
66,52838,ACCIDENT,LOSS OF CONTROL IN THE AIR,AGUA BOA,MT,BRAZIL,****,19/12/2014,16:16:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
67,26960,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ANADIA,AL,BRAZIL,****,23/04/2006,13:00:00,YES,SERIPA-2,FINISHED,-,1.0,30/12/2009,10,1,-,30/07/2016
68,47661,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,ATALAIA DO NORTE,AM,BRAZIL,****,22/04/2013,19:00:00,YES,SERIPA-7,FINISHED,-,1.0,14/08/2013,2,1,-,30/07/2016
69,53306,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,ATALAIA DO NORTE,AM,BRAZIL,****,29/05/2015,23:17:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
70,36097,SERIOUS INCIDENT,LANDING ON UNPREDICTABLE PLACE,AGUA BRANCA,PI,BRAZIL,****,20/03/2009,19:55:00,YES,SERIPA-1,FINISHED,-,1.0,18/08/2010,4,1,-,30/07/2016
71,44464,ACCIDENT,LOSS OF CONTROL ON THE GROUND,AGUA CLARA,MS,BRAZIL,****,01/05/2011,11:45:00,YES,SERIPA-5,FINISHED,-,1.0,23/09/2011,6,1,-,30/07/2016
72,46437,ACCIDENT,LOSS OF CONTROL IN THE AIR,AGUA CLARA,MS,BRAZIL,****,25/08/2012,11:30:00,YES,SERIPA-4,FINISHED,-,1.0,30/12/2013,2,1,-,30/07/2016
73,45277,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,AGUA CLARA,MS,BRAZIL,****,27/11/2011,10:10:00,YES,SERIPA-4,FINISHED,-,1.0,14/07/2015,0,1,-,30/07/2016
74,31869,ACCIDENT,HARD LANDING,CRUZEIRO DO SUL,AC,BRAZIL,SBCZ,29/01/2008,03:15:00,YES,SERIPA-7,FINISHED,-,1.0,10/06/2010,1,1,-,30/07/2016
75,39913,SERIOUS INCIDENT,ABOUT WINDOWS / DOORS / WINDSHIELD,CRUZEIRO DO SUL,AC,BRAZIL,SBCZ,10/03/2010,06:17:00,YES,SERIPA-7,FINISHED,-,1.0,21/12/2011,3,1,1.0,30/07/2016
76,34855,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,ADOLFO,SP,BRAZIL,****,10/11/2008,17:00:00,YES,SERIPA-4,FINISHED,-,1.0,18/03/2016,0,1,-,30/07/2016
77,45913,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALCÂNTARA,MA,BRAZIL,****,25/05/2012,20:45:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
78,53545,SERIOUS INCIDENT,TIRE BURST,PORTO VELHO,RO,BRAZIL,SBPV,23/10/2015,19:56:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
79,44817,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,PORTO VELHO,RO,BRAZIL,SWRO,12/07/2011,21:20:00,YES,SERIPA-7,FINISHED,-,1.0,02/06/2014,2,1,-,30/07/2016
80,27633,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PORTO VELHO,RO,BRAZIL,SBPV,20/08/2006,12:56:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
81,47102,SERIOUS INCIDENT,SLOW LANDING,PORTO VELHO,RO,BRAZIL,SBPV,05/03/2013,12:00:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
82,53578,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PORTO VELHO,RO,BRAZIL,SWRO,01/11/2015,21:30:00,UNKNOWN,SERIPA-7,-,-,-,-,0,1,-,30/07/2016
83,45822,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PORTO VELHO,RO,BRAZIL,****,05/05/2012,11:15:00,YES,SERIPA-7,FINISHED,-,1.0,21/07/2014,0,1,-,30/07/2016
84,28775,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CARACARAI,RR,BRAZIL,****,31/03/2007,17:15:00,YES,SERIPA-1,FINISHED,-,1.0,13/09/2013,2,1,-,30/07/2016
85,53498,ACCIDENT,SLOW LANDING,ALTA FLORESTA,MT,BRAZIL,****,28/09/2015,14:40:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
86,48883,SERIOUS INCIDENT,ABOUT LANDING GEAR,ALTA FLORESTA,MT,BRAZIL,SWEN,24/06/2013,16:30:00,YES,SERIPA-6,FINISHED,-,1.0,18/03/2016,0,1,1.0,30/07/2016
87,34538,ACCIDENT,FUEL STARVATION,LARANJAL DO JARI,AP,BRAZIL,****,03/12/2008,19:30:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
88,37536,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,LARANJAL DO JARI,AP,BRAZIL,****,16/05/2009,13:30:00,YES,SERIPA-1,FINISHED,-,1.0,23/09/2011,1,1,-,30/07/2016
89,26759,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALTO ARAGUAIA,MT,BRAZIL,****,08/05/2006,13:10:00,YES,SERIPA-6,FINISHED,-,1.0,09/10/2009,7,1,-,30/07/2016
90,53628,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,AGUAI,SP,BRAZIL,****,08/12/2015,12:30:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
91,40412,ACCIDENT,SYSTEM / COMPONENT FAILURE,MACAPA,AP,BRAZIL,****,16/04/2010,21:55:00,UNKNOWN,SERIPA-1,-,-,-,-,0,1,-,30/07/2016
92,45759,ACCIDENT,UNKNOWN,MACAPA,AP,BRAZIL,****,20/04/2012,08:55:00,YES,SERIPA-1,IN PROGRESS,-,-,-,0,1,-,30/07/2016
93,46309,ACCIDENT,ANOTHER TYPES,MACAPA,AP,BRAZIL,****,09/09/2012,21:12:00,YES,SERIPA-1,FINISHED,UNDEFINED,-,-,0,1,-,30/07/2016
94,53579,ACCIDENT,LOSS OF CONTROL IN THE AIR,VILHENA,RO,BRAZIL,SBVH,30/10/2015,12:30:00,UNKNOWN,SERIPA-7,-,-,-,-,0,1,-,30/07/2016
95,42071,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,AFUA,PA,BRAZIL,****,24/07/2010,10:15:00,YES,SERIPA-1,FINISHED,-,1.0,23/09/2011,6,1,-,30/07/2016
96,45894,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,AFUA,PA,BRAZIL,****,16/05/2012,12:10:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
97,43719,ACCIDENT,LOSS OF CONTROL IN THE AIR,ARACAJU,SE,BRAZIL,****,21/12/2010,13:03:00,YES,SERIPA-2,FINISHED,-,1.0,22/08/2013,9,1,-,30/07/2016
98,51672,ACCIDENT,LOSS OF CONTROL IN THE AIR,ARACAJU,SE,BRAZIL,SNAU,04/07/2014,18:52:00,UNKNOWN,SERIPA-2,-,-,-,-,0,1,-,30/07/2016
99,53423,ACCIDENT,HARD LANDING,ARACAJU,SE,BRAZIL,SNJD,01/08/2015,12:50:00,YES,SERIPA-2,FINISHED,-,1.0,16/06/2016,0,1,-,30/07/2016
100,53257,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ARACAJU,SE,BRAZIL,SBAR,17/05/2015,17:40:00,YES,SERIPA-2,FINISHED,-,1.0,16/11/2015,1,1,-,30/07/2016
101,44118,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ARACAJU,SE,BRAZIL,SNAU,18/03/2011,20:00:00,YES,SERIPA-2,IN PROGRESS,-,-,-,0,1,-,30/07/2016
102,45912,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,MUCAJAI,RR,BRAZIL,SWMV,04/05/2012,19:30:00,YES,SERIPA-7,FINISHED,-,1.0,02/10/2014,0,1,-,30/07/2016
103,52275,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MUCAJAI,RR,BRAZIL,****,28/08/2014,14:40:00,YES,SERIPA-7,FINISHED,-,1.0,06/03/2015,0,1,1.0,30/07/2016
104,30250,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,JORDAO,AC,BRAZIL,****,07/08/2007,20:23:00,YES,SERIPA-7,FINISHED,-,1.0,16/11/2015,0,1,-,30/07/2016
105,41552,ACCIDENT,ANOTHER TYPES,NOVA MAMORE,RO,BRAZIL,****,14/06/2010,14:25:00,YES,SERIPA-7,FINISHED,-,1.0,29/08/2012,9,1,-,30/07/2016
106,52639,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MANOEL URBANO,AC,BRAZIL,SSPX,19/10/2014,19:05:00,YES,SERIPA-7,FINISHED,-,1.0,15/07/2015,0,1,1.0,30/07/2016
107,30896,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,MANOEL URBANO,AC,BRAZIL,****,24/10/2007,19:00:00,YES,SERIPA-7,FINISHED,-,1.0,23/06/2016,0,1,-,30/07/2016
108,44078,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,MARECHAL THAUMATURGO,AC,BRAZIL,****,07/03/2011,17:35:00,YES,SERIPA-7,FINISHED,-,1.0,30/06/2011,2,1,-,30/07/2016
109,46583,ACCIDENT,UNKNOWN,ALMIRANTE TAMANDARE,PR,BRAZIL,****,06/11/2012,21:30:00,YES,SERIPA-5,FINISHED,-,1.0,03/06/2016,9,1,-,30/07/2016
110,46860,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,RIO BRANCO,AC,BRAZIL,SBRB,11/01/2013,16:30:00,YES,SERIPA-7,FINISHED,-,1.0,08/07/2013,0,1,1.0,30/07/2016
111,43702,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,RIO BRANCO,AC,BRAZIL,****,21/01/2011,17:35:00,YES,SERIPA-1,FINISHED,-,1.0,28/03/2013,8,1,-,30/07/2016
112,50916,SERIOUS INCIDENT,COMPONENT LOSS ON THE GROUND,RIO BRANCO,AC,BRAZIL,****,06/03/2014,13:00:00,YES,SERIPA-7,FINISHED,-,1.0,05/03/2015,1,1,-,30/07/2016
113,27261,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALENQUER,PA,BRAZIL,****,27/06/2006,11:15:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
114,46916,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALEGRETE,RS,BRAZIL,****,29/01/2013,19:20:00,YES,SERIPA-5,FINISHED,-,1.0,07/03/2016,1,1,-,30/07/2016
115,46568,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALEGRETE,RS,BRAZIL,****,08/11/2012,11:00:00,YES,SERIPA-5,FINISHED,-,1.0,15/08/2014,0,1,-,30/07/2016
116,43726,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALEGRETE,RS,BRAZIL,****,29/12/2010,10:35:00,YES,SERIPA-5,FINISHED,-,1.0,29/08/2012,6,1,-,30/07/2016
117,52839,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ALEGRETE,RS,BRAZIL,****,23/12/2014,20:00:00,YES,SERIPA-5,FINISHED,-,1.0,19/10/2015,0,1,-,30/07/2016
118,51053,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALEGRETE,RS,BRAZIL,****,06/02/2014,13:00:00,YES,SERIPA-5,FINISHED,-,1.0,21/07/2015,0,1,-,30/07/2016
119,49911,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALEGRETE,RS,BRAZIL,SSLT,05/10/2013,21:00:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
120,52836,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALEGRETE,RS,BRAZIL,****,18/12/2014,19:00:00,YES,SERIPA-5,FINISHED,-,1.0,16/11/2015,0,1,-,30/07/2016
121,47652,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ALEGRETE,RS,BRAZIL,****,12/03/2013,18:40:00,YES,SERIPA-5,FINISHED,-,1.0,27/03/2014,0,1,-,30/07/2016
122,46094,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ALTO GARCAS,MT,BRAZIL,****,07/07/2012,14:30:00,YES,SERIPA-6,FINISHED,-,1.0,27/11/2013,0,1,1.0,30/07/2016
123,43776,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ALTO GARCAS,MT,BRAZIL,SWDC,25/01/2011,14:40:00,YES,SERIPA-6,FINISHED,-,1.0,30/06/2011,3,1,1.0,30/07/2016
124,50979,ACCIDENT,LANDING WITHOUT LANDING GEAR,SANTA ROSA DO PURUS,AC,BRAZIL,SSPQ,11/03/2014,20:00:00,YES,SERIPA-7,FINISHED,-,1.0,22/08/2014,0,1,-,30/07/2016
